KEY_TEXT,TEXT_KOR,TEXT_ENG,TEXT_ES,TEXT_FR,TEXT_DE,TEXT_AR,TEXT_CN,TEXT_CNT,TEXT_FI,TEXT_HE,TEXT_ID,TEXT_IT,TEXT_JP,TEXT_MS,TEXT_NL,TEXT_PL,TEXT_PT,TEXT_RU,TEXT_TH,TEXT_TR,TEXT_VI,
TID_RUFFS_WEAPON,"트윈 레이저","DOUBLE-BARREL LASER","LÁSER DOBLE","DOUBLE LASER","DOPPELLASER","الليزر الثنائي","双联激光","雙管雷射","TUPLALASER","אקדח לייזר כפול","LASER GANDA","FUCILE LASER A DUE COLPI","ダブルバレルレーザー","LASER DWILARAS","DUBBELLOOPSE LASER","LASEROWA DUBELTÓWKA","LASER DUPLO","ЛАЗЕРНАЯ ПАРА","เลเซอร์กระบอกคู่","ÇİFT NAMLULU LAZER","CHÙM TIA LAZE KÉP",
TID_RUFFS_WEAPON_DESC,"트윈 레이저가 장벽에 여러 번 튕겨 나옵니다. 장애물 뒤도 안전하지 않습니다!","Ruffs' twin-laser bounces off walls multiple times. They can hit opponents behind cover.","El doble láser de Ruffs rebota en los muros varias veces. Además, puede alcanzar a los rivales que estén refugiados.","Le double laser du colonel rebondit contre les murs plusieurs fois et peut atteindre les adversaires abrités derrière des obstacles.","Ruffs Doppellaser prallen mehrfach von Wänden ab. So können Gegner hinter Deckungen getroffen werden.","يرتد ليزر روفس الثنائي على الجدران عدة مرات. يمكنه إصابة خصومه الموجودين وراء ساتر.","拉夫上校的双联激光可以在墙壁上反弹多次，很适合用来攻击躲在掩体后的目标。","拉夫上校的雙重雷射可以在牆壁上反射多次，很適合用來攻擊躲在障礙物後面的目標。","Ruffsin kaksoislaser kimpoaa muureista useita kertoja ja voi osua myös esteiden taakse piiloutuneisiin vastustajiin.","קרני הלייזר הכפולות של ראפס קופצות מהקירות כמה פעמים. הן מסוגלות לפגוע ביריבים שתופסים מחסה.","Laser ganda Ruffs akan memantul dari tembok beberapa kali dan bisa mengenai lawan yang berada di balik penghalang.","La coppia di laser sparata dal Colonnello rimbalza più volte sui muri e può colpire gli avversari in copertura.","ラフス大佐が放つ2発のレーザー砲は、壁に当たると跳ね返るため、物陰からも敵を撃つことができる。","Laser berganda Ruffs melantun dari dinding berbilang kali dan boleh mengenai lawan yang berada di sebalik penghalang.","De dubbele laserstralen van Ruffs kaatsen meerdere keren tegen muren en kunnen tegenstanders achter obstakels raken.","Podwójny laser Ruffsa odbija się wielokrotnie od ścian i może trafić przeciwników schowanych za osłoną.","O feixe de laser duplo de Ruffs ricocheteia nas paredes várias vezes e também acerta adversários atrás de abrigos.","Лучи из лазерного ружья Гавса отражаются от стен и могут достать находящихся в укрытии противников.","เลเซอร์คู่ของรัฟส์สามารถกระดอนจากกำแพงได้หลายครั้ง และยังสามารถโจมตีใส่คู่ต่อสู้ที่หลบอยู่หลังสิ่งกีดขวางได้","Ruffs'ın lazer atışları duvarlardan çok kez seker, siper ve engellerin arkasındaki düşmanları vurabilir.","Chùm tia laze kép của Ruffs có thể bật tường nhiều lần và bắn trúng đối thủ đang ẩn nấp.",
TID_RUFFS_ULTI,"보급품 투하","SUPPLY DROP","SUMINISTROS AÉREOS","LARGAGE AÉRIEN","VORRATSKISTE","الإمدادات الجوية","空投补给","空投補給","AVUSTUSLÄHETYS","מטען אספקה","KIRIMAN SUPLAI","APPROVVIGIONAMENTI","空中投下","BEKALAN BANTUAN","LUCHTBEVOORRADING","ZRZUT ZAOPATRZENIA","PEDIDO DE REFORÇOS","АВИАПОСТАВКА","การหย่อนเสบียง","İKMAL KUTUSU","THÙNG TIẾP TẾ",
TID_RUFFS_ULTI_DESC,"보급품 투하를 요청합니다. 맞은 적은 피해를 입으며, 아군 브롤러가 획득하면 HP와 피해량이 증가하는 파워업이 생성됩니다. 파워업의 효과는 중첩되지 않으며, 브롤러가 처치되면 사라집니다.","Ruffs calls down a supply drop that damages any opponent it hits, and leaves a power-up for friendly Brawlers to pick up. The power-up increases health and damage. Multiple power-ups do not stack, and you lose the power-up if defeated.","Ruffs recurre a suministros aéreos que dañan a los rivales que golpean y depositan un potenciador que aumenta la salud y el daño del brawler que lo recoja. No es acumulable y se pierde cuando el brawler es derrotado.","Médor ordonne un largage aérien, infligeant des dégâts aux adversaires touchés et laissant un boost à ses équipiers. Le boost améliore leur santé et les dégâts infligés. Les boosts ne sont pas cumulables et les brawlers vaincus perdent leur boost.","Ruffs ruft eine Vorratskiste herbei, die jedem Gegner Schaden zufügt, den sie trifft, und ein Power-up für verbündete Brawler hinterlässt. Das Power-up erhöht Trefferpunkte und Schaden. Mehrere Power-ups werden nicht addiert. Wirst du besiegt, verlierst du das Power-up.","يستدعي روفس إمدادات جوية تدمر أي خصم تضربه وتترك تقوية للأبطال الحلفاء. تزيد التقوية من الصحة والضرر. لا تتراكم التقويات المتعددة، وستخسر التقوية إذا تعرضت إلى الهزيمة.","拉夫上校呼叫空投补给，对命中的敌人造成伤害，并留下一个可以提高生命值和伤害的强化道具供友方英雄拾取。多个强化道具效果无法叠加。如果英雄被击倒，将失去已获得的强化效果。","拉夫上校呼叫空投補給，對命中的敵人造成傷害，並留下一個可以提高生命值和傷害的強化道具供友方英雄拾取。多個強化道具效果無法疊加。如果英雄被擊敗，將失去已獲得的強化效果。","Ruffs tilaa paikalle avustuslähetyksen, joka vahingoittaa vastustajia osuessaan ja jättää omille rämäpäille elin- ja tuhovoimaa lisäävän tehosteen. Useamman tehosteen kerääminen ei moninkertaista vaikutusta, ja vaikutus katoaa tyrmäyksestä.","ראפס מזמן מטען אספקה שגורם נזק לכל יריב שהוא פוגע בו, ומשאיר שדרוג שבראולרים ידידותיים יכולים לאסוף. השדרוג מגביר את הבריאות ואת הנזק. שדרוגים מרובים אינם מצטברים ואם מפסידים בקרב, מאבדים שדרוג.","Ruffs akan memanggil kiriman suplai yang memberikan kerusakan pada lawan yang terhantam. Kiriman suplai ini akan meninggalkan penguat yang akan meningkatkan kesehatan dan kerusakan saat diambil rekan Jagoan. Hanya satu penguat yang dapat aktif dalam satu waktu dan efek akan hilang saat tumbang.","Il Colonnello richiede un carico che danneggia i nemici colpiti, contenente un potenziamento per i brawler alleati che lo raccolgono. Il potenziamento aumenta la salute e i danni inferti, ma i suoi effetti svaniscono dopo una sconfitta e non sono cumulabili con quelli di altri potenziamenti.","ラフス大佐の要請により投下された物資は、直撃した敵にダメージを与え、味方のためにパワーアップアイテムを配置する。アイテムを拾ったキャラクターはHPとダメージが増加するが、複数拾っても効果は重複しない。また、撃破されるとパワーアップ効果は失われる。","Ruffs menyeru bekalan bantuan yang merosakkan semua lawan yang terkena dan meninggalkan item untuk brawler rakan. Item ini meningkatkan nilai nyawa dan kuasa serangan. Bilangan item ini tidak bertindan dan anda akan kehilangannya jika dikalahkan.","Ruffs vraagt om luchtbevoorrading die bij impact tegenstanders beschadigt en een boost achterlaat die de gezondheid en aanvalsschade van teamgenoten verhoogt. Knokkers kunnen maar één boost per keer krijgen en het effect ervan gaat verloren als ze worden verslagen.","Ruffs wzywa zrzut zaopatrzenia, który zadaje obrażenia każdemu trafionemu przeciwnikowi i pozostawia doładowanie dla sojuszniczego zadymiarza. Doładowanie zwiększa punkty życia i zadawane obrażenia. Doładowania się nie kumulują, a jeśli ktoś Cię pokona, stracisz je.","Ruffs ordena um lançamento aéreo que causa dano aos inimigos e deixa um energizador para Brawlers aliados. O energizador aumenta os pontos de vida e o dano causado, mas não pode ser acumulado. Seu efeito é anulado quando o Brawler é derrotado.","Гавс запрашивает авиапоставку, которая наносит урон задетым ею врагам и оставляет усилитель для товарищей по команде. Усилитель увеличивает урон и здоровье; его эффект не накапливается и пропадает, если боец окажется побеждён.","รัฟส์เรียกการหย่อนเสบียงที่ทำความเสียหายแก่ศัตรูตัวใดก็ตามที่โดน และทิ้งไอเท็มเพิ่มพลังไว้ให้บรอว์เลอร์พันธมิตรเก็บ ไอเท็มเพิ่มพลังจะเพิ่มพลังชีวิตและความเสียหายให้ การใช้ไอเท็มเพิ่มพลังหลายๆ ชิ้นจะไม่ให้ผลซ้อนทับ และถ้าคุณแพ้จะเสียไอเท็มเพิ่มพลังไป","Ruffs, isabet ettiği tüm rakiplere hasar veren ve içinden dost savaşçıların kullanabileceği bir güçlendirme çıkan bir ikmal kutusu çağırır. Güçlendirmeyi alan savaşçının sağlığı ve hasarı artar. Güçlendirmenin birden fazla kez alınması etkisini artırmaz ve yok edilen savaşçılar güçlendirmeyi kaybeder.","Ruffs quăng ra một thùng tiếp tế có khả năng gây sát thương lên kẻ địch bị ném trúng và để lại vật phẩm tăng sức mạnh cho các Chiến binh Brawl đồng đội. Các vật phẩm này giúp tăng cường máu và sát thương gây ra. Bạn không thể tích lũy các vật phẩm này và chúng sẽ biến mất khi Chiến binh Brawl bị hạ gục.",
TID_SPEC_ABI_RUFFS_1,"제공권","AIR SUPERIORITY","SUPERIORIDAD AÉREA","AVANTAGE AÉRIEN","LUFTVERSTÄRKUNG","التفوق الجوي","绝对制空","制空優勢","ILMAHERRUUS","עליונות אווירית","DOMINASI DIRGANTARA","SUPERIORITÀ AEREA","制空","PENGUASAAN UDARA","LUCHTOVERWICHT","SUKCES Z POWIETRZA","SUPERIORIDADE AÉREA","ВОЗДУШНОЕ ПРЕВОСХОДСТВО","ความเหนือชั้นทางอากาศ","HAVA ÜSTÜNLÜĞÜ","KIỂM SOÁT KHÔNG PHẬN",
TID_SPEC_ABI_RUFFS_1_DESC,"투하하는 보급품에 폭탄이 설치되어 <color=#00cc00>120%</color>의 추가 피해를 주고 장벽을 파괴할 수 있게 됩니다.","Supply Drop now includes a bomb that adds <color=#00cc00>120%</color> more damage to the drop and also allows it to destroy walls.","Los suministros aéreos ahora incluyen una bomba que hace que inflija un <color=#00cc00>120 %</color> más de daño al hacer la entrega. También permite destruir muros.","Le largage aérien est agrémenté d'une petite bombe qui ajoute <color=#00cc00>120 %</color> de points de dégâts supplémentaires à l'impact et lui permet de détruire les murs.","Die von Ruffs angeforderte Vorratskiste beinhaltet eine Bombe, die Mauern zerstören kann. Außerdem richtet sie <color=#00cc00>120 %</color> zusätzlichen Schaden beim Einschlag an.","تتضمن الإمدادات الجوية الآن قنبلة تضيف <color=#00cc00>120%</color> من الضرر الزائد إلى الهبوط، وتمكنها كذلك من تدمير الجدران.","空投的补给中现在还会包括一颗炸弹，使空投伤害提高<color=#00cc00>120%</color>，并且可以摧毁掩体。","空投的補給箱中現在還會包含一顆炸彈，使空投的傷害提高<color=#00cc00>120%</color>，並且可以摧毀障礙物。","Avustuslähetys sisältää nyt myös pommin, joka lisää lähetyksen tuhovoimaa <color=#00cc00>120 %</color> ja saa sen myös tuhoamaan muureja.","מטען האספקה כולל כעת פצצה שמוסיפה עוד <color=#00cc00>%120</color> נזק למטען ומאפשרת לו גם להרוס קירות.","Saat aktif, akan ada bom dalam kiriman suplai yang memberikan <color=#00cc00>+120%</color> kerusakan tambahan dan mampu menghancurkan tembok.","Il carico lanciato con la super include una bomba che aumenta del <color=#00cc00>120%</color> i punti danno e distrugge le mura colpite dal suo effetto.","支援物資に爆弾を仕込むことで、落下ダメージが<color=#00cc00>120％</color>増加し、壁を壊せるようになる。","Bekalan Bantuan kini termasuk bom yang melakukan <color=#00cc00>120%</color> kerosakan tambahan dan boleh memusnahkan dinding.","Luchtbevoorrading bevat nu ook een bom die <color=#00cc00>120%</color> meer schade aanricht en muren kan vernietigen.","Zrzut zaopatrzenia obejmuje teraz bombę, która zadaje dodatkowe <color=#00cc00>120%</color> pkt. obrażeń w chwili lądowania i umożliwia burzenie murów.","O Super de Ruffs inclui uma bomba que inflige <color=#00cc00>120%</color> a mais de dano aos inimigos, além de também destruir paredes.","Авиапоставка теперь включает бомбу, которая увеличивает урон от падения ящика на <color=#00cc00>120 %</color> и может разрушить стены.","การหย่อนเสบียงยังมีระเบิดซึ่งเพิ่มความเสียหาย<color=#00cc00>120%</color> หน่วยเมื่อตกลงมาและยังสามารถทำลายกำแพงได้ด้วย","İkmal kutusuna ekstra bir bomba eklenir ve kutunun hasar gücü <color=#00cc00>%120</color> artar. Ayrıca kutu patladığında duvarları da yıkar.","Hiện tại, Thùng Tiếp tế sẽ bao gồm cả một quả bom có khả năng gây thêm <color=#00cc00>120%</color> sát thương khi rơi trúng kẻ địch và còn có thể phá hủy cả tường chắn.",
TID_SPEC_ABI_RUFFS_2,"전장 진급","FIELD PROMOTION","ASCENSO","PROMOTION","BEFÖRDERUNG","الترقية الميدانية","战地晋升","戰地晉升","KENTTÄYLENNYS","קידום בשטח","PROMOSI LAPANGAN","PROMOZIONE SUL CAMPO","一括昇格","LAPANGAN KUASA","HOSPIK","AWANS POLOWY","ASCENSÃO","ПРОДВИЖЕНИЕ ПО СЛУЖБЕ","เลื่อนยศภาคสนาม","DESTEK ALANI","KHU VỰC TĂNG MÁU",
TID_SPEC_ABI_RUFFS_2_DESC,"해당 능력이 활성화된 상태에서 아군 브롤러가 효과 범위 안에 머물면, 매초 최대 HP가 <color=#00cc00>40</color>만큼 증가합니다.","Friendly Brawlers have their maximum health increased by <color=#00cc00>40</color> every second that they are in range of this ability while it's active.","Mientras esta habilidad está activa, la salud máxima de los brawlers aliados aumenta <color=#00cc00>40</color> puntos por cada segundo que se encuentren dentro de su alcance.","Tant que cette capacité est active, la santé maximale des brawlers alliés à portée est augmentée de <color=#00cc00>40</color> points chaque seconde.","Die maximalen Trefferpunkte von verbündeten Brawlern werden jede Sekunde, in der sie sich im Wirkungsbereich der Fähigkeit befinden, während diese aktiv ist, um <color=#00cc00>40</color> erhöht.","عندما تكون هذه القدرة نشطة، تزداد صحة الأبطال الحلفاء القصوى بمقدار <color=#00cc00>40</color> لكل ثانية يقضونها داخل نطاقها.","当友方英雄处于此星徽之力生效范围内时，他们的最大生命值将每秒提高<color=#00cc00>40</color>。","拉夫上校身邊的友方英雄最大生命值每秒提高<color=#00cc00>40</color>。","Joka sekunti, jonka oman joukkueen rämäpäät viipyvät Ruffsin aktiivisen voiman vaikutusalueella, heidän maksimielinvoimansa kasvaa <color=#00cc00>40</color> pisteellä. Tehostus päättyy, kun rämäpää tyrmätään.","בראולרים ידידותיים מגדילים את הבריאות המרבית שלהם ב <color=#00cc00>40</color> בכל שניה שהם בטווח היכולת הזו בזמן שהיא פעילה.","Selama aktif, kesehatan maksimum dari setiap rekan Jagoan yang berada di dekat kemampuan ini akan bertambah sebesar <color=#00cc00>40</color> per detik.","Mentre quest'abilità è attiva, la salute massima dei brawler alleati che si trovano nel suo raggio di azione aumenterà ogni secondo di <color=#00cc00>40</color> punti.","この能力の効果範囲内にいる味方は、最大HPが毎秒<color=#00cc00>40</color>ずつ増加する。","Setiap saat brawler rakan berada dalam lingkungan keupayaan ini ketika ia aktif, nilai nyawa maksimum mereka akan ditingkatkan sebanyak <color=#00cc00>40</color>","Elke seconde dat vriendschappelijke knokkers zich in de buurt van Ruffs bevinden terwijl dit talent actief is, wordt hun maximale gezondheid verhoogd met <color=#00cc00>40</color>.","Maksymalne zdrowie sojuszniczych zadymiarzy zostaje zwiększone o <color=#00cc00>40</color> w każdej sekundzie, w której przebywają w zasięgu tej umiejętności, podczas gdy jest ona aktywna.","Enquanto esta habilidade estiver ativa, a saúde máxima de Brawlers aliados próximos a Ruffs aumentará em <color=#00cc00>40</color> pontos a cada segundo.","Пока эта способность действует, максимальное здоровье товарищей по команде в зоне досягаемости Гавса увеличивается на <color=#00cc00>40</color> единиц каждую секунду.","บรอว์เลอร์พันธมิตรจะมีพลังชีวิตสูงสุดเพิ่มขึ้น <color=#00cc00>40</color> หน่วยทุกๆ วินาทีที่บรอว์เลอร์นั้นอยู่ในระยะขณะที่รัฟส์เปิดใช้ความสามารถนี้","Bu yetenek etkin olduğu sürece Ruffs'ın menzilinde yer alan dost savaşçıların maksimum sağlığı saniye başına <color=#00cc00>40</color> puan artar.","Khi kỹ năng này được kích hoạt, với mỗi giây đứng trong phạm vi của kỹ năng, lượng máu tối đa của các Chiến binh Brawl đồng đội sẽ được tăng thêm <color=#00cc00>40</color>.",
TID_ACCESSORY_RUFFS_COVER,"엄폐물","TAKE COVER","A CUBIERTO","SACS DE SABLE","SANDSÄCKE","الساتر الرملي","就地掩护","就地掩護","SUOJAPAIKKA","תפסו מחסה","BERLINDUNG!","COPERTURA TATTICA","バリケード","BERLINDUNG","ZOEK DEKKING","KRYĆ SIĘ","COBERTURA","В УКРЫТИЕ!","ถุงทรายคุ้มกัน","SİPER AL!","BAO CÁT BẢO HỘ",
TID_ACCESSORY_RUFFS_COVER_DESC,"엄폐할 수 있는 모래 자루 <color=#00cc00>3</color>개를 떨어뜨립니다. 각 모래 자루는 러프스의 최대 HP의 <color=#00cc00>40%</color>를 가집니다.","Ruffs throws down <color=#00cc00>3</color> sandbags as cover. Each one has <color=#00cc00>40%</color> of Ruffs' max health.","Ruffs lanza <color=#00cc00>3</color> sacos de arena para cubrirse. Cada uno tiene un <color=#00cc00>40 %</color> de los puntos de salud máximos de Ruffs.","Le colonel s'abrite derrière <color=#00cc00>3</color> sacs de sable. Chaque sac dispose de <color=#00cc00>40 %</color> de sa santé max.","Ruffs schmeißt <color=#00cc00>3</color> Sandsäcke aufs Schlachtfeld, die ihm als Deckung dienen. Jeder Sandsack verfügt über <color=#00cc00>40 %</color> von Ruffs max. Trefferpunkten.","يلقي روفس <color=#00cc00>3</color> من الأكياس الرملية على الأرض ليحتمي بها. تتضمن كل منها <color=#00cc00>40%</color> من الحد الأقصى من صحة روفس.","拉夫丢出<color=#00cc00>3</color>个沙袋作为掩体，其生命值为拉夫最大生命值的<color=#00cc00>40%</color>。","拉夫丟出<color=#00cc00>3</color>個沙包作為障礙物，其生命值為拉夫最大生命值的<color=#00cc00>40%</color>。","Ruffs rakentaa suojan <color=#00cc00>3</color> hiekkasäkistä, joista jokaisella on <color=#00cc00>40 %</color> Ruffsin maksimielinvoimasta.","ראפס זורק <color=#00cc00>3</color> שקי חול למחסה. בכל אחד מהם יש <color=#00cc00>%40</color> נקודות מבריאותו המקסימלית.","Ruffs meletakkan <color=#00cc00>3</color> karung pasir untuk melindungi diri. Setiap karung pasir memiliki <color=#00cc00>40%</color> dari kesehatan maksimum Ruffs.","Per coprirsi dagli attacchi dei nemici, Ringhio lancia <color=#00cc00>3</color> sacchetti di sabbia, ciascuno dei quali possiede il <color=#00cc00>40%</color> della salute massima di Ringhio.","自分の周りに<color=#00cc00>3</color>個のサンドバッグの壁を出現させる。各サンドバッグのHPは、ラフスの最大HPの<color=#00cc00>40％</color>となる。","Ruffs melemparkan <color=#00cc00>3</color> beg pasir sebagai pelindung. Setiap satunya mempunyai <color=#00cc00>40%</color> nilai nyawa maksimum Ruffs.","Ruffs gooit <color=#00cc00>3</color> zandzakken neer voor dekking. Elke zandzak is gelijk aan <color=#00cc00>40%</color> van Ruffs zijn maximale gezondheid.","Ruffs rzuca na ziemię <color=#00cc00>3</color> szt. worków z piaskiem, by się osłonić. Każdy z nich ma <color=#00cc00>40%</color> maks. pkt. życia Ruffsa.","Ruffs arremessa <color=#00cc00>3</color> sacos de areia para proteção. Cada saco tem <color=#00cc00>40%</color> da saúde máxima dele.","Гавс строит укрытие из <color=#00cc00>3</color> мешков с песком. Запас прочности каждого мешка составляет <color=#00cc00>40 %</color> от максимального запаса здоровья Гавса.","รัฟส์โยนถุงทราย <color=#00cc00>3</color> ถุงเพื่อป้องกันตัว แต่ละถุงมีพลังชีวิต <color=#00cc00>40%</color> จากพลังชีวิตสูงสุดของรัฟส์","Ruffs, siper almak için <color=#00cc00>3</color> kum torbası atar. Her kum torbası, Ruffs'ın <color=#00cc00>%40</color> tam sağlığına sahiptir.","Ruffs ném xuống mặt đất <color=#00cc00>3</color> bao cát để làm tường chắn. Mỗi bao cát có <color=#00cc00>40%</color> lượng máu tối đa của Ruffs.",
TID_ACCESSORY_RUFFS_AIR_STRIKE,"공중 지원","AIR SUPPORT","APOYO AÉREO","RADIO MILITAIRE","LUFTUNTERSTÜTZUNG","الدعم الجوي","空中支援","空中支援","ILMATUKI","תמיכה אווירית","SUPREMASI UDARA","SUPPORTO AEREO","エアサポート","SOKONGAN UDARA","BOMBARDEMENT","WSPARCIE Z POWIETRZA","SUPORTE AÉREO","ПОДДЕРЖКА С ВОЗДУХА","วิทยุติดต่อหน่วยรบทางอากาศ","HAVA DESTEĞİ","HỖ TRỢ TỪ TRÊN KHÔNG",
TID_ACCESSORY_RUFFS_AIR_STRIKE_DESC,"가장 가까운 상대에게 폭격을 유도해, 폭격당 <color=#00cc00>1200</color> 피해를 줍니다.","Ruffs calls a barrage around the nearest opponent, dealing <color=#00cc00>1200</color> damage with each hit.","Ruffs lanza un ataque aéreo alrededor del rival más cercano, infligiendo <color=#00cc00>1200</color> puntos de daño con cada golpe.","Médor fait appel à un barrage aérien autour de l'adversaire le plus proche, infligeant <color=#00cc00>1200</color> points de dégâts à chaque coup.","Ruffs lässt den ihm am nächsten stehenden Gegner aus der Luft angreifen, wodurch dieser mit jedem Treffer <color=#00cc00>1200</color> Schaden erleidet.","يطلق روفس هجمة جوية حول أقرب خصم، فيلحق به ضررًا قدره <color=#00cc00>1200</color> مع كل إصابة.","拉夫上校呼叫空中支援，对离自己最近的敌人发动一轮空袭，每发炮弹可造成<color=#00cc00>1200</color>伤害。","拉夫上校呼叫空中支援，對離自己最近的敵人發動一輪空襲，每發炮彈可造成<color=#00cc00>1200</color>傷害。","Ruffs tilaa lähimmän vastustajan kohdalle yläilmoista kunnon tulituksen, jonka jokainen osuma aiheuttaa <color=#00cc00>1200</color> pistettä tuhoa.","ראפס מזמן מטח קליעים סביב היריב הקרוב. המטח גורם <color=#00cc00>1200</color> נזק עם כל פגיעה.","Ruffs membombardir lawan terdekat dan memberikan <color=#00cc00>1200</color> kerusakan dengan setiap bom.","Il Colonnello lancia un attacco aereo sull'avversario più vicino, infliggendo <color=#00cc00>1200</color> punti danno con ogni colpo.","空からの一斉砲火を要請して、最も近くにいる敵を攻撃する。ミサイルは1発につき<color=#00cc00>1200</color>ダメージを与える。","Ruffs menyeru tembakan bertalu-talu sekitar lawan terdekat, setiap serangan akan melakukan <color=#00cc00>1200</color> kerosakan.","Ruffs laat een spervuur van bommen neerkomen op de dichtstbijzijnde tegenstander. Elke treffer richt <color=#00cc00>1200</color> schade aan.","Ruffs wzywa nalot na najbliższego przeciwnika, zadając <color=#00cc00>1200</color> pkt. obrażeń z każdym trafieniem.","Ruffs ordena um bombardeio ao redor do oponente mais próximo, causando <color=#00cc00>1200</color> pontos de dano a cada rodada.","Гавс проводит бомбардировку области вокруг ближайшего противника, нанося <color=#00cc00>1200</color> ед. урона с каждым попаданием.","รัฟส์เรียกการระดมยิงรอบๆ คู่ต่อสู้ที่ใกล้ที่สุดและสร้างความเสียหาย <color=#00cc00>1200</color> หน่วยต่อการยิงแต่ละครั้ง","Ruffs en yakındaki rakibin konumuna bir hava saldırısı emri verir. Her mermi <color=#00cc00>1200</color> hasar verir.","Ruffs triệu hồi một cơn mưa bom đạn dội xuống đối thủ gần nhất, gây ra <color=#00cc00>1200</color> sát thương với mỗi lần trúng mục tiêu.",
TID_RUFFS_OVERCHARGE,"천사견","THE GOODEST BOY","BUEN CHICO","GENTIL TOUTOU","DER BESTE JUNGE","أفضل فتى","最棒狗狗","最棒狗狗","PARAS POIKA","הילד הכי טוב","JAGOAN TERBAIK","MANNA DAL CIELO","忠犬","BUDAK TERBAIK","BRAVE JONGEN","NAJLEPSZA PSINA","BOM MENINO","САМЫЙ ЛУЧШИЙ МАЛЬЧИК","เด็กดีไม่แพ้ใคร","AKILLI KUÇU","BÉ NGOAN NHẤT NHÀ",
TID_RUFFS_OVERCHARGE_DESC,"특수 공격이 <color=#00cc00>25%</color> 더 큰 피해를 주고, 러프스의 파워업이 하이퍼차지를 완전히 충전합니다.","Ruffs' Super deals <color=#00cc00>25%</color> more damage and his power-up fully charges a Hypercharge.","El súper de Ruffs inflige un <color=#00cc00>25 %</color> más de daño y su potenciador carga por completo una hipercarga.","Le super de Médor inflige <color=#00cc00>25 %</color> de dégâts en plus, et son boost charge entièrement l'hypercharge.","Ruffs‘ Superskill verursacht <color=#00cc00>25 %</color> mehr Schaden und sein Power-Up lädt eine Hyperladung vollständig auf.","يلحق زخم روفس <color=#00cc00>25%</color> من الضرر الإضافي ويقوم عنصر التقوية الخاص به بشحن الشحن الفائق بالكامل.","拉夫的超级技能造成的伤害提升<color=#00cc00>25%</color>，并且他的强化道具可完成一次极限充能。","拉夫的超級技能造成的傷害提升<color=#00cc00>25%</color>，並且他的強化道具可完全蓄能一次極限威能。","Ruffsin super aiheuttaa <color=#00cc00>25 %</color> enemmän tuhoa, ja sen jättämä tehostus lataa rämäpään hyperlatauksen täyteen.","תכונת הסופר של ראפס גורמת <color=#00cc00>%25</color> יותר נזק והחיזוק שלו טוען סופר-טעינה במלואה.","Kekuatan Super Ruffs memberikan kerusakan <color=#00cc00>25%</color> lebih besar dan peningkat kekuatan miliknya akan mengisi penuh mode Beringasss.","La super di Ringhio causa il <color=#00cc00>25%</color> di danni in più e il potenziamento che rilascia carica completamente l'overdrive.","必殺技のダメージが<color=#00cc00>25％</color>上昇し、パワーアップでハイパーチャージが完全チャージされるようになる。","Super Ruffs melakukan <color=#00cc00>25%</color> lebih kerosakan dan peningkatan kuasanya mengecas hipercas sepenuhnya.","Ruffs' super brengt <color=#00cc00>25%</color> meer schade toe en zijn power-up laadt zijn hyperkracht volledig op.","Superatak Ruffsa zadaje <color=#00cc00>25%</color> obrażeń więcej, a jego moc w pełni ładuje hiperdoładowanie.","O Super de Ruffs causa <color=#00cc00>25%</color> mais dano, e o reforço dele carrega completamente a hipercarga.","Супер Гавса наносит на <color=#00cc00>25 %</color> больше урона, а его усиление полностью заряжает гиперзаряд.","ท่าไม้ตายของรัฟส์สร้างความเสียหายเพิ่มขึ้น <color=#00cc00>25%</color> และไอเท็มเพิ่มพลังของเขาจะชาร์จไฮเปอร์ชาร์จจนเต็ม","Ruffs'ın süperi <color=#00cc00>%25</color> daha fazla hasar verir ve güçlendirmesi bir hiperşarjı tamamen doldurur.","Tuyệt chiêu của Ruffs sẽ gây ra thêm <color=#00cc00>25%</color> sát thương và vật phẩm cường hóa của ông ta sẽ tích đầy Cường hóa tuyệt chiêu.",
TID_ROLLER,"스튜","STU","STU","STU","STU","ستو","斯图","駛徒","STU","סטו","STU","STU","ストゥー","STU","STU","STU","STU","СТУ","สตู","STU","STU",
